Date,TemperatureF,Humidity,SeaLevelPressureIn,VisibilityMiles,WindSpeedMPH,CloudCover,Events
2013-09-14,57,69,30.12,10,4,5,
2013-09-15,56,78,30.15,8,5,1,Fog
2013-09-16,61,85,30.18,6,4,6,Rain
2013-09-17,57,70,30.34,10,4,0,
2013-09-18,60,64,30.21,10,5,1,
2013-09-19,68,77,30.12,8,4,5,
2013-09-20,68,88,30.0,5,6,4,Fog
2013-09-21,63,93,29.75,5,8,6,Rain
2013-09-22,56,89,29.89,6,6,7,Fog
2013-09-23,52,71,30.12,10,3,6,
2013-09-24,54,77,30.09,6,1,0,Fog
2013-09-25,60,66,29.95,9,2,0,
2013-09-26,62,64,30.03,10,2,0,
2013-09-27,62,68,30.17,10,2,0,
2013-09-28,62,72,30.22,10,5,1,
2013-09-29,62,70,30.1,10,6,2,
2013-09-30,62,82,30.04,10,5,7,
2013-10-01,67,75,30.06,9,6,4,
2013-10-02,68,74,30.08,10,7,2,
2013-10-03,68,89,30.09,5,4,4,Fog-Rain
2013-10-04,72,85,30.08,8,6,4,Rain
2013-10-05,73,91,30.05,4,4,3,Fog-Rain
2013-10-06,74,74,29.9,8,7,2,
2013-10-07,60,76,29.88,8,11,5,Rain
2013-10-08,53,74,30.27,8,5,1,Fog
2013-10-09,56,64,30.3,10,4,0,
2013-10-10,58,59,30.18,10,3,1,
2013-10-11,55,88,30.09,7,4,7,Rain
2013-10-12,64,78,30.12,10,3,6,Rain
2013-10-13,63,79,30.24,10,4,7,Rain
2013-10-14,58,92,30.28,8,1,8,Rain
2013-10-15,61,87,30.14,6,2,2,Fog
2013-10-16,59,88,29.94,9,8,6,Rain
2013-10-17,55,90,29.84,8,7,8,Rain
2013-10-18,52,71,29.98,10,11,3,
2013-10-19,46,86,29.88,9,8,4,Fog-Rain
2013-10-20,47,69,30.03,10,10,1,
2013-10-21,52,53,30.0,10,8,1,
2013-10-22,47,68,29.91,9,7,5,Rain
2013-10-23,40,86,29.82,8,3,7,Rain
2013-10-24,40,73,30.05,10,10,6,
2013-10-25,39,75,30.27,9,8,6,Snow
2013-10-26,39,58,30.08,10,12,4,Rain
2013-10-27,44,61,30.07,10,7,1,
2013-10-28,46,61,30.24,9,4,1,
2013-10-29,47,65,30.34,10,2,1,
2013-10-30,54,70,30.19,10,2,5,Rain
2013-10-31,62,84,29.89,9,9,7,Rain
2013-11-01,60,70,29.59,10,16,6,Rain
2013-11-02,48,77,29.81,10,8,8,Rain
2013-11-03,42,72,30.22,10,8,3,
2013-11-04,37,54,30.51,10,5,0,
2013-11-05,49,48,30.45,10,5,0,
2013-11-06,57,61,30.11,9,8,4,Rain
2013-11-07,48,79,30.0,8,10,8,Rain
2013-11-08,40,60,30.23,10,9,5,
2013-11-09,44,49,30.13,10,9,2,
2013-11-10,45,55,30.13,10,16,5,
2013-11-11,40,65,30.15,9,10,7,Rain-Snow
2013-11-12,30,80,30.31,6,12,6,Fog-Snow
2013-11-13,30,68,30.48,9,8,2,Snow
2013-11-14,37,50,30.3,10,10,0,
2013-11-15,46,38,30.2,10,9,2,
2013-11-16,52,67,30.16,10,7,2,
2013-11-17,57,81,29.82,9,10,8,Rain
2013-11-18,48,52,29.85,10,18,3,
2013-11-19,34,58,30.27,10,10,6,
2013-11-20,38,46,30.43,10,6,0,
2013-11-21,44,49,30.36,10,6,4,
2013-11-22,46,85,30.16,7,9,8,Rain
2013-11-23,29,69,30.23,7,12,6,Snow
2013-11-24,20,61,30.48,10,12,3,Snow
2013-11-25,26,47,30.39,10,8,3,
2013-11-26,33,92,30.01,1,6,8,Fog-Rain-Snow
2013-11-27,28,83,29.81,5,12,8,Rain-Snow
2013-11-28,23,65,30.36,10,10,6,
2013-11-29,31,63,30.6,10,5,3,
2013-11-30,32,63,30.44,10,7,0,
2013-12-01,39,58,30.09,10,8,7,
2013-12-02,42,67,29.9,10,5,7,Rain
2013-12-03,46,75,29.9,7,2,4,Rain
2013-12-04,50,69,29.94,9,5,3,
2013-12-05,51,84,29.92,5,10,7,Rain
2013-12-06,34,89,30.14,5,8,8,Fog-Rain-Snow
2013-12-07,26,75,30.44,10,7,6,Snow
2013-12-08,24,81,30.32,5,6,7,Fog-Rain-Snow
2013-12-09,34,87,30.02,4,9,8,Fog-Rain
2013-12-10,26,71,30.09,6,10,5,Fog-Snow
2013-12-11,24,64,30.32,9,10,4,Snow
2013-12-12,18,57,30.38,10,10,4,
2013-12-13,28,50,30.26,10,9,2,
2013-12-14,34,85,29.9,4,6,8,Fog-Rain-Snow
2013-12-15,30,78,29.82,8,13,8,Rain-Snow
2013-12-16,22,73,30.1,7,5,8,Snow
2013-12-17,30,82,29.98,5,7,8,Snow
2013-12-18,26,76,30.12,9,11,6,Snow
2013-12-19,39,52,30.08,10,10,0,
2013-12-20,50,64,29.95,10,11,7,Rain
2013-12-21,58,86,29.84,8,10,7,Rain
2013-12-22,62,75,29.81,10,15,7,Rain
2013-12-23,42,78,30.14,8,8,8,Rain
2013-12-24,22,69,30.32,6,9,7,Fog-Snow
2013-12-25,20,71,30.37,8,4,5,Snow
2013-12-26,31,74,30.21,6,9,6,Snow
2013-12-27,34,56,30.34,10,8,4,
2013-12-28,43,47,30.2,10,10,0,
2013-12-29,42,87,29.77,5,8,8,Fog-Rain
2013-12-30,32,76,30.08,8,9,8,Rain-Snow
2013-12-31,24,73,30.17,6,9,7,Snow
